date;steps;distance;calories;heart_rate
17.09.2017;19075;13012;407;73
18.09.2017;26213;18221;578;72
19.09.2017;25523;18991;625;72
20.09.2017;34543;24523;784;73
21.09.2017;27355;19258;607;70
22.09.2017;18863;13057;410;72
23.09.2017;4769;3362;123;75
24.09.2017;3292;2215;79;70
25.09.2017;6755;4739;168;74
26.09.2017;4751;3268;116;70
27.09.2017;6485;4477;154;73
28.09.2017;5488;3786;134;74
29.09.2017;4635;3137;102;72
30.09.2017;10977;7458;248;72
01.10.2017;6681;4907;176;73
02.10.2017;8778;6223;216;72
03.10.2017;6915;4748;168;75
04.10.2017;5033;3456;122;73
05.10.2017;5054;3363;117;72
06.10.2017;6362;4298;148;75
07.10.2017;9091;6253;209;75
08.10.2017;14455;10718;350;72
09.10.2017;3367;2361;95;70
10.10.2017;6486;4705;166;72
11.10.2017;7563;5472;200;71
12.10.2017;4392;2999;108;75
13.10.2017;5042;3556;127;71
14.10.2017;13621;9828;340;70
15.10.2017;4616;3465;127;73
16.10.2017;7231;4966;167;75
17.10.2017;5318;3703;138;70
18.10.2017;8963;6247;217;71
19.10.2017;15129;10961;388;73
20.10.2017;4420;3221;116;71
21.10.2017;3414;2293;84;75
22.10.2017;15392;11631;417;75
23.10.2017;10098;6926;232;75
24.10.2017;6357;4302;153;75
25.10.2017;6131;4105;143;72
26.10.2017;9406;6409;217;73
27.10.2017;7649;5282;189;72
28.10.2017;2809;1940;71;72
29.10.2017;469;303;14;73
30.10.2017;8055;5862;213;75
31.10.2017;8290;6033;220;75
01.11.2017;7222;5229;193;73
02.11.2017;3469;2490;88;75
03.11.2017;5054;3493;122;75
04.11.2017;12440;8736;298;75
05.11.2017;542;350;16;73
06.11.2017;5090;3815;139;75
07.11.2017;3102;2187;81;71
08.11.2017;4217;2911;104;72
09.11.2017;8765;5924;196;70
10.11.2017;8531;6021;206;70
11.11.2017;5692;3756;130;75
12.11.2017;324;209;10;71
13.11.2017;4251;2936;105;74
14.11.2017;11415;8582;302;71
15.11.2017;3822;2722;104;71
16.11.2017;2727;1955;76;70
17.11.2017;8457;6228;233;73
18.11.2017;9790;6854;242;72
19.11.2017;2394;1781;67;71
20.11.2017;4075;2889;108;71
21.11.2017;11289;7731;254;73
22.11.2017;13383;10198;369;75
23.11.2017;6632;4709;169;73
24.11.2017;4536;3253;119;70
25.11.2017;4204;2838;101;75
26.11.2017;9053;6930;259;72
27.11.2017;9377;6616;240;75
28.11.2017;7817;5256;180;74
29.11.2017;5089;3438;126;72
30.11.2017;3702;2593;95;72
01.12.2017;8291;5506;191;74
02.12.2017;5275;3563;122;72
03.12.2017;658;425;17;75
04.12.2017;5648;4030;146;71
05.12.2017;3628;2565;95;71
06.12.2017;4327;2898;105;73
07.12.2017;4870;3331;122;74
08.12.2017;12568;8771;283;70
09.12.2017;4162;2744;93;71
10.12.2017;2430;1709;61;73
11.12.2017;4813;3463;123;73
12.12.2017;13753;10121;350;73
13.12.2017;3183;2245;78;71
14.12.2017;4000;2813;103;74
15.12.2017;10766;7991;277;71
16.12.2017;10511;7735;256;71
17.12.2017;1901;1401;53;73
18.12.2017;6269;4478;152;73
19.12.2017;646;418;21;74
20.12.2017;2541;1836;68;75
21.12.2017;562;363;18;73
22.12.2017;10005;7549;270;72
23.12.2017;2837;1868;69;74
24.12.2017;25469;19348;672;71
25.12.2017;307;198;11;72
26.12.2017;2164;1495;53;73
27.12.2017;10611;8215;289;71
28.12.2017;430;278;15;74
29.12.2017;1963;1475;54;70
30.12.2017;8411;6359;233;73
31.12.2017;2632;1893;72;70
01.01.2018;690;446;22;75
02.01.2018;4145;3187;125;73
03.01.2018;1759;1137;48;75
04.01.2018;10697;7222;247;73
05.01.2018;8593;5770;191;70
06.01.2018;635;410;18;71
07.01.2018;2743;1886;68;70
08.01.2018;671;434;20;74
09.01.2018;3083;2251;94;75
10.01.2018;685;443;22;73
11.01.2018;777;502;24;75
12.01.2018;5282;4000;150;73
13.01.2018;1549;1127;40;73
14.01.2018;7053;5035;177;73
15.01.2018;6663;4840;174;70
16.01.2018;4705;3292;120;73
17.01.2018;3715;2594;96;73
18.01.2018;23706;17380;635;73
19.01.2018;844;546;23;74
20.01.2018;43;28;2;71
21.01.2018;26052;18538;605;73
22.01.2018;10567;7994;296;73
23.01.2018;8427;5918;199;74
24.01.2018;31246;23121;744;75
25.01.2018;4258;2807;96;75
26.01.2018;16689;12012;395;75
27.01.2018;1127;728;23;72
28.01.2018;9111;6182;191;74
29.01.2018;2531;1642;58;72
30.01.2018;4145;2723;89;74
31.01.2018;2485;1633;59;73
01.02.2018;10731;7376;231;72
02.02.2018;3814;2654;88;71
03.02.2018;1801;1164;40;70
04.02.2018;8889;6296;207;70
05.02.2018;2329;1513;54;72
06.02.2018;13372;9678;335;71
07.02.2018;9698;6606;221;72
08.02.2018;18029;13011;412;70
09.02.2018;6383;4278;145;75
10.02.2018;11154;7679;251;73
11.02.2018;8192;5334;180;74
12.02.2018;3394;2202;84;71
13.02.2018;12591;8857;282;72
14.02.2018;19825;13708;439;72
15.02.2018;6986;4605;156;70
16.02.2018;12846;9151;293;74
17.02.2018;6938;4801;158;72
18.02.2018;10075;6750;214;72
19.02.2018;3224;2084;74;73
20.02.2018;3475;2507;83;71
21.02.2018;271;175;6;74
22.02.2018;3812;2595;89;72
23.02.2018;2932;1906;67;71
24.02.2018;5017;3377;117;70
25.02.2018;3783;2487;81;74
26.02.2018;3043;2002;67;70
27.02.2018;16682;12410;440;70
28.02.2018;18167;13282;429;71
01.03.2018;6364;4326;137;70
02.03.2018;17737;12751;408;72
03.03.2018;3654;2528;82;75
04.03.2018;11302;8329;285;74
05.03.2018;2948;1906;65;70
06.03.2018;14543;10775;383;70
07.03.2018;15170;11338;407;72
08.03.2018;3675;2459;80;74
09.03.2018;8215;5925;204;74
10.03.2018;12053;9049;302;75
11.03.2018;6464;4670;155;71
12.03.2018;6345;4642;149;71
13.03.2018;13224;10262;376;74
14.03.2018;21348;15775;499;73
15.03.2018;11797;8548;269;74
16.03.2018;4803;3443;114;72
17.03.2018;7480;5001;160;72
18.03.2018;7805;5511;175;70
19.03.2018;3092;2066;67;73
20.03.2018;4592;3176;107;72
21.03.2018;451;292;13;75
22.03.2018;34;22;1;75
23.03.2018;1171;762;24;74
24.03.2018;5350;3791;125;75
25.03.2018;2332;1516;53;75
26.03.2018;2442;1612;55;70
27.03.2018;2410;1566;54;74
28.03.2018;5882;4182;139;73
29.03.2018;2902;1919;67;74
30.03.2018;2542;1661;52;74
31.03.2018;6775;4580;156;72
01.04.2018;2692;1754;68;75
02.04.2018;19909;14723;487;72
03.04.2018;6245;4086;132;72
04.04.2018;3019;2025;73;73
05.04.2018;3896;2551;88;74
06.04.2018;12281;8990;288;75
07.04.2018;31019;21576;680;73
08.04.2018;32547;22652;707;70
09.04.2018;23500;15989;495;71
10.04.2018;12748;8698;265;73
11.04.2018;22217;15636;493;71
12.04.2018;9083;6098;199;74
13.04.2018;26254;18549;582;73
14.04.2018;23288;15536;465;74
15.04.2018;13955;9436;301;73
16.04.2018;19165;13415;425;72
17.04.2018;29079;20180;625;74
18.04.2018;5382;3535;119;72
19.04.2018;8178;5589;195;73
20.04.2018;23292;16859;542;72
21.04.2018;23681;16541;515;74
22.04.2018;3534;2397;89;72
23.04.2018;2886;2024;79;72
24.04.2018;4720;3594;141;72
25.04.2018;775;501;23;74
26.04.2018;511;330;17;73
27.04.2018;961;621;29;71
28.04.2018;482;312;16;70
29.04.2018;456;295;14;75
30.04.2018;4453;3329;115;74
01.05.2018;12219;9490;358;73
02.05.2018;9761;7348;273;75
03.05.2018;15949;11963;399;72
04.05.2018;3347;2369;91;75
05.05.2018;25854;19509;656;72
06.05.2018;895;579;31;72
07.05.2018;873;564;26;73
08.05.2018;7851;5903;219;71
09.05.2018;4060;3040;118;75
10.05.2018;660;427;22;75
11.05.2018;2462;1789;67;71
12.05.2018;12813;9938;375;73
13.05.2018;2348;1659;63;70
14.05.2018;1059;685;31;70
15.05.2018;8586;6765;253;71
16.05.2018;20205;15176;548;71
17.05.2018;12935;9889;367;70
18.05.2018;866;560;25;73
19.05.2018;2405;1704;62;75
20.05.2018;437;282;13;73
21.05.2018;10996;8144;289;74
22.05.2018;30821;23125;797;74
23.05.2018;10259;7809;276;73
24.05.2018;12198;8651;299;75
25.05.2018;11353;8771;334;70
26.05.2018;7967;5693;194;75
